シーズン,集計基準日,打者名,打者球団,投手名,投手球団,対戦打席,対戦打数,安打,本塁打,四球,三振,打率,出塁率,長打率,OPS,サンプル不足フラグ,データの説明
2026,2026-08-09,近藤 健介,ソフトバンク,渡邉 勇太朗,西武,9,5,2,0,4,1,0.4,0.6667,0.4,1.0667,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,菅井 信也,西武,9,6,4,0,2,0,0.6667,0.7778,1.1667,1.9445,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,達 孝太,日本ハム,9,8,4,0,1,1,0.5,0.5556,0.75,1.3056,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,隅田 知一郎,西武,9,8,2,1,1,0,0.25,0.3333,0.625,0.9583,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,北山 亘基,日本ハム,8,8,2,0,0,1,0.25,0.25,0.5,0.75,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,ロング,ロッテ,7,6,1,0,1,0,0.1667,0.2857,0.1667,0.4524,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,小島 和哉,ロッテ,7,5,3,1,2,0,0.6,0.7143,1.2,1.9143,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,有原 航平,日本ハム,7,6,1,0,1,1,0.1667,0.2857,0.3333,0.619,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,エスピノーザ,オリックス,6,5,1,0,1,1,0.2,0.3333,0.4,0.7333,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,九里 亜蓮,オリックス,6,4,3,0,1,1,0.75,0.8333,0.75,1.5833,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,髙島 泰都,オリックス,6,5,4,1,0,1,0.8,0.8333,1.6,2.4333,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,毛利 海大,ロッテ,5,5,0,0,0,1,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,田中 晴也,ロッテ,5,4,1,0,1,0,0.25,0.4,0.25,0.65,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,細野 晴希,日本ハム,5,4,1,0,1,1,0.25,0.4,0.25,0.65,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,鈴木 昭汰,ロッテ,5,5,0,0,0,2,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,鈴木 翔天,楽天,5,5,0,0,0,3,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,鈴木 大地,楽天,九里 亜蓮,オリックス,5,5,1,0,0,0,0.2,0.2,0.2,0.4,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,宮﨑 敏郎,DeNA,金丸 夢斗,中日,12,10,4,1,1,1,0.4,0.5,0.7,1.2,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,宮﨑 敏郎,DeNA,床田 寛樹,広島,10,10,0,0,0,1,0.0,0.0,0.0,0.0,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,宮﨑 敏郎,DeNA,マラー,中日,9,9,3,0,0,1,0.3333,0.3333,0.4444,0.7777,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,宮﨑 敏郎,DeNA,井上 温大,巨人,8,8,1,0,0,1,0.125,0.125,0.125,0.25,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
