season,player_key,player_id,player,team,league,number,hand,qualified,games,innings,outs,batters_faced,pitches,hits_allowed,hr_allowed,so,bb,hbp,runs_allowed,earned_runs,wins,losses,saves,holds_official,holds_est,relief_wins,hp,era,fip,whip,k9,bb9,hr9,k_bb,k_pct,bb_pct,lob_pct_est,win_pct
2026,p1550517,1550517,大津 亮介,ソフトバンク,パ,19,右投,True,16,105.1,316,414,1569,91,13,85,19,2,32,30,9,2,0,0,0,0,0,2.56,3.32,1.04,7.26,1.62,1.11,4.47,0.205,0.046,0.853,0.818
2026,p2103847,2103847,大竹 風雅,ソフトバンク,パ,59,右投,False,6,7,21,31,113,6,0,7,4,0,4,0,0,0,0,0,0,0,0,0.0,2.44,1.43,9.0,5.14,0.0,1.75,0.226,0.129,0.6,
2026,p2104898,2104898,大野 稼頭央,ソフトバンク,パ,60,左投,False,4,8,24,41,162,10,1,5,5,2,7,5,0,0,0,0,0,0,0,5.62,5.73,1.88,5.62,5.62,1.12,1.0,0.122,0.122,0.641,
2026,p1900106,1900106,大関 友久,ソフトバンク,パ,47,左投,False,10,57.1,172,257,1004,69,11,36,20,1,36,34,3,4,0,0,0,0,0,5.34,5.07,1.55,5.65,3.14,1.73,1.8,0.14,0.078,0.724,0.429
2026,p1700134,1700134,尾形 崇斗,ソフトバンク,パ,39,右投,False,19,59.2,179,245,995,38,6,73,27,5,19,19,3,4,0,0,0,0,0,2.87,3.2,1.09,11.01,4.07,0.91,2.7,0.298,0.11,0.828,0.429
2026,p2108558,2108558,岩井 俊介,ソフトバンク,パ,27,右投,False,5,6,18,26,110,4,0,6,5,2,0,0,0,0,0,0,0,0,0,0.0,4.23,1.5,9.0,7.5,0.0,1.2,0.231,0.192,1.0,
2026,p2100596,2100596,徐 若熙,ソフトバンク,パ,18,右投,False,6,30.2,92,136,503,38,5,28,11,1,17,17,2,3,0,0,0,0,0,4.99,4.2,1.6,8.22,3.23,1.47,2.55,0.206,0.081,0.767,0.4
2026,p1851115,1851115,木村 光,ソフトバンク,パ,68,右投,False,30,28,84,113,445,19,3,21,11,2,6,6,3,0,0,10,10,3,13,1.93,4.02,1.07,6.75,3.54,0.96,1.91,0.186,0.097,0.935,1.0
2026,p1800107,1800107,杉山 一樹,ソフトバンク,パ,40,右投,False,39,37,111,159,665,28,2,58,20,0,13,13,1,2,24,2,2,1,3,3.16,1.92,1.3,14.11,4.86,0.49,2.9,0.365,0.126,0.774,0.333
2026,p2107909,2107909,松本 晴,ソフトバンク,パ,49,左投,False,15,83.1,250,349,1360,74,8,96,29,8,32,31,7,2,0,0,0,0,0,3.35,3.01,1.24,10.37,3.13,0.86,3.31,0.275,0.083,0.792,0.778
2026,p1400126,1400126,松本 裕樹,ソフトバンク,パ,66,右投,False,42,41.2,125,169,627,40,3,39,7,0,12,12,4,4,4,18,18,4,22,2.59,2.3,1.13,8.42,1.51,0.65,5.57,0.231,0.041,0.818,0.5
2026,p1900102,1900102,津森 宥紀,ソフトバンク,パ,11,右投,False,34,31.1,94,123,526,18,1,28,9,3,8,5,2,0,1,8,9,2,11,1.44,2.51,0.86,8.04,2.59,0.29,3.11,0.228,0.073,0.769,1.0
2026,p2103605,2103605,稲川 竜汰,ソフトバンク,パ,13,右投,False,1,0.2,2,4,20,0,0,0,2,0,1,1,0,0,0,0,0,0,0,13.5,11.73,3.0,0.0,27.0,0.0,0.0,0.0,0.5,0.5,
2026,p2112130,2112130,藤原 大翔,ソフトバンク,パ,22,右投,False,2,6.2,20,34,136,8,0,5,6,0,7,7,0,2,0,0,0,0,0,9.45,3.93,2.1,6.75,8.1,0.0,0.83,0.147,0.176,0.5,0.0
2026,p2102969,2102969,鈴木 豪太,ソフトバンク,パ,26,右投,False,25,32.1,97,124,474,24,2,29,5,0,8,7,1,0,0,3,3,1,4,1.95,2.2,0.9,8.07,1.39,0.56,5.8,0.234,0.04,0.802,1.0
2026,p2108291,2108291,ウォルターズ,ヤクルト,セ,58,右投,False,7,26.1,79,122,470,29,3,25,11,4,17,17,1,3,0,0,0,0,0,5.81,4.18,1.52,8.54,3.76,1.03,2.27,0.205,0.09,0.678,0.25
2026,p2000133,2000133,オスナ,ヤクルト,セ,13,右打,False,1,0.2,2,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,7.39,1.5,0.0,13.5,0.0,0.0,0.0,0.5,1.0,
2026,p1961046,1961046,キハダ,ヤクルト,セ,11,左投,False,38,34.2,104,165,718,31,4,53,23,4,17,15,2,7,21,2,2,2,4,3.89,3.67,1.56,13.76,5.97,1.04,2.3,0.321,0.139,0.782,0.222
2026,p2122334,2122334,リランソ,ヤクルト,セ,62,右投,False,23,20.1,61,84,353,11,1,23,11,2,6,4,2,2,0,8,8,2,10,1.77,3.19,1.08,10.18,4.87,0.44,2.09,0.274,0.131,0.796,0.5
2026,p2107908,2107908,下川 隼佑,ヤクルト,セ,69,右投,False,3,7.1,22,35,131,10,0,5,4,1,5,5,0,1,0,0,0,0,0,6.14,3.57,1.91,6.14,4.91,0.0,1.25,0.143,0.114,0.667,0.0
2026,p2000033,2000033,丸山 翔大,ヤクルト,セ,68,右投,False,28,28,84,114,498,23,3,29,6,1,13,13,0,2,0,5,6,0,6,4.18,2.96,1.04,9.32,1.93,0.96,4.83,0.254,0.053,0.659,0.0
2026,p2103794,2103794,吉村 貢司郎,ヤクルト,セ,21,右投,False,15,86.1,259,350,1361,74,15,64,20,2,42,41,4,8,0,0,0,0,0,4.27,4.43,1.09,6.67,2.08,1.56,3.2,0.183,0.057,0.72,0.333
2026,p1750894,1750894,増居 翔太,ヤクルト,セ,43,左投,False,4,17,51,64,268,7,0,11,8,0,2,1,1,0,0,1,1,0,1,0.53,3.01,0.88,5.82,4.24,0.0,1.38,0.172,0.125,0.867,1.0
2026,p1900027,1900027,大西 広樹,ヤクルト,セ,44,右投,False,9,7,21,40,132,14,2,3,4,1,11,10,0,0,0,2,2,0,2,12.86,7.89,2.57,3.86,5.14,2.57,0.75,0.075,0.1,0.494,
2026,p2000062,2000062,大道 温貴,ヤクルト,セ,46,右投,False,1,1.2,5,12,42,5,0,1,1,0,5,3,0,0,0,0,0,0,0,16.2,3.49,3.6,5.4,5.4,0.0,1.0,0.083,0.083,0.167,
2026,p1900024,1900024,奥川 恭伸,ヤクルト,セ,18,右投,True,16,108.1,325,427,1594,92,12,85,20,0,39,36,5,7,0,0,0,0,0,2.99,3.31,1.03,7.06,1.66,1.0,4.25,0.199,0.047,0.767,0.417
2026,p1200076,1200076,小川 泰弘,ヤクルト,セ,29,右投,False,7,38,114,166,617,37,5,27,16,3,28,23,1,4,0,0,0,0,0,5.45,4.68,1.39,6.39,3.79,1.18,1.69,0.163,0.096,0.571,0.2
2026,p1500139,1500139,小澤 怜史,ヤクルト,セ,45,右投,False,11,16.1,49,76,317,16,3,21,7,0,8,8,0,0,0,0,0,0,0,4.41,3.99,1.41,11.57,3.86,1.65,3.0,0.276,0.092,0.798,
2026,p2000025,2000025,山野 太一,ヤクルト,セ,26,左投,True,17,107.1,322,435,1723,87,9,99,23,7,35,29,8,3,0,0,0,0,0,2.43,2.97,1.02,8.3,1.93,0.75,4.3,0.228,0.053,0.785,0.727
2026,p2105626,2105626,廣澤 優,ヤクルト,セ,70,右投,False,32,31.2,95,128,503,20,2,26,7,1,11,10,3,1,0,6,6,3,9,2.84,2.83,0.85,7.39,1.99,0.57,3.71,0.203,0.055,0.675,0.75
2026,p1600121,1600121,拓也,ヤクルト,セ,41,右投,False,7,6.2,20,36,152,12,2,6,4,0,10,10,0,0,0,0,0,0,0,13.5,6.79,2.4,8.1,5.4,2.7,1.5,0.167,0.111,0.455,
2026,p1600075,1600075,星 知弥,ヤクルト,セ,24,右投,False,35,33.2,101,144,548,34,2,23,13,0,11,10,1,3,1,22,22,1,23,2.67,3.45,1.4,6.15,3.48,0.53,1.77,0.16,0.09,0.814,0.25
